case_id,issue_type,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
C001,VLAN,"PC cannot communicate with another PC in the same department.","PC1 and PC2 are connected to SW1. PC1 should be in VLAN 10.","show vlan brief | VLAN 10 is not listed","Missing VLAN","Layer 2","VLAN","High","show vlan brief","Create VLAN 10 and assign the correct access ports."
C002,VLAN,"PC receives an IP address but cannot communicate with devices in its VLAN.","PC is connected to SW1 on FastEthernet0/5 and should belong to VLAN 20.","show vlan brief | Fa0/5 is assigned to VLAN 1 instead of VLAN 20","Incorrect VLAN assignment","Layer 2","VLAN","High","show vlan brief","Assign FastEthernet0/5 to VLAN 20."
C003,VLAN,"Trunk traffic for VLAN 30 is not reaching the second switch.","SW1 and SW2 are connected using GigabitEthernet0/1. VLAN 30 must cross the trunk.","show interfaces trunk | Allowed VLANs: 10,20 | VLAN 30 missing","VLAN 30 not allowed on trunk","Layer 2","VLAN Trunking","High","show interfaces trunk","Allow VLAN 30 on the trunk."
C004,VLAN,"Users in VLAN 40 lose connectivity after connecting to another switch.","SW1 and SW2 use a trunk link and VLAN 40 is required on both switches.","show interfaces trunk | Trunking VLANs: 10,20,30 | VLAN 40 missing","VLAN 40 missing from trunk","Layer 2","VLAN Trunking","Medium","show interfaces trunk","Add VLAN 40 to the trunk allowed list."
C005,Gateway,"PC can access local devices but cannot reach the remote server.","PC is in 192.168.10.0/24 and router interface is 192.168.20.1.","ipconfig | IP: 192.168.10.20 | Mask: 255.255.255.0 | Default Gateway: 192.168.20.1","Gateway mismatch","Layer 3","Default Gateway","High","ipconfig","Configure the gateway as an address in the PC's local subnet."
C006,Gateway,"PC has an IP address but cannot reach any device outside its subnet.","PC is in 192.168.20.0/24 and should use router gateway 192.168.20.1.","ipconfig | IP: 192.168.20.25 | Mask: 255.255.255.0 | Default Gateway: 192.168.30.1","Incorrect default gateway","Layer 3","Default Gateway","High","ipconfig","Change the default gateway to 192.168.20.1."
C007,Gateway,"PC can communicate locally but remote network connectivity fails.","PC belongs to VLAN 30 using network 10.30.0.0/24.","ipconfig | IP: 10.30.0.15 | Mask: 255.255.255.0 | Gateway: 10.40.0.1","Gateway is outside local subnet","Layer 3","Default Gateway","High","ipconfig","Set the default gateway to the router interface in 10.30.0.0/24."
C008,Gateway,"Server is reachable from some hosts but not from its local network.","Server uses 192.168.50.0/24 and router interface is 192.168.50.1.","show running-config | ip address 192.168.50.10 255.255.255.0 | default gateway configured as 192.168.60.1","Server gateway mismatch","Layer 3","Default Gateway","High","show running-config","Configure the server default gateway as 192.168.50.1."
C009,DHCP,"PC automatically receives a 169.254.x.x address.","PC is connected to a switch that should receive addresses from the router DHCP service.","ipconfig | IPv4 Address: 169.254.10.25 | DHCP Enabled: Yes","DHCP service not providing an address","Layer 7","DHCP","High","show ip dhcp binding","Check DHCP pool configuration and DHCP reachability."
C010,DHCP,"PC receives an address from the wrong network.","VLAN 20 clients should receive addresses from the 192.168.20.0/24 DHCP pool.","show ip dhcp binding | 192.168.10.25 assigned to VLAN 20 client","Incorrect DHCP pool/network","Layer 7","DHCP","High","show ip dhcp pool","Correct the DHCP pool network and VLAN configuration."
C011,DHCP,"New clients cannot obtain IP addresses while existing clients continue working.","Router provides DHCP for 192.168.30.0/24.","show ip dhcp pool | Network 192.168.30.0/24 | Total addresses 254 | Leased addresses 254","DHCP pool exhausted","Layer 7","DHCP","Medium","show ip dhcp pool","Increase available DHCP addresses or reduce unnecessary leases."
C012,DHCP,"PC has no DHCP-assigned gateway information.","PC should receive IP, mask, gateway and DNS from router DHCP.","show running-config | ip dhcp pool USERS | network 192.168.40.0 255.255.255.0 | no default-router","DHCP default gateway option missing","Layer 7","DHCP","High","show running-config | section ip dhcp pool","Add the correct default-router option to the DHCP pool."
C013,DNS,"PC can ping a web server by IP address but cannot access it using its hostname.","PC uses an internal DNS server at 192.168.60.10.","ipconfig /all | DNS Servers: 0.0.0.0","DNS server not configured","Layer 7","DNS","Medium","ipconfig /all","Configure the correct DNS server address."
C014,DNS,"Hostname lookup fails but network connectivity to the DNS server works.","DNS server is 192.168.70.10 and PC is in VLAN 70.","nslookup server.local | DNS request timed out | Server: Unknown","DNS service or configuration failure","Layer 7","DNS","Medium","nslookup server.local","Verify DNS service, DNS server configuration and hostname record."
C015,DNS,"Users can reach external IP addresses but websites do not resolve.","PC receives network settings through DHCP.","ipconfig /all | DNS Servers: 192.168.80.99 | Correct DNS server: 192.168.80.10","Incorrect DNS server address","Layer 7","DNS","Medium","ipconfig /all","Change DNS configuration to the correct DNS server."
C016,Routing,"PC can ping its gateway but cannot reach the server network.","PC is in 192.168.10.0/24 and server is in 192.168.20.0/24.","show ip route | C 192.168.10.0/24 is directly connected | No route for 192.168.20.0/24","Missing route","Layer 3","Routing","High","show ip route","Configure a route to 192.168.20.0/24."
C017,Routing,"Remote branch network cannot be reached from headquarters.","HQ router must reach branch network 10.2.0.0/16 through 10.1.1.2.","show ip route 10.2.0.0 | % Network not in table","Missing route to branch","Layer 3","Routing","High","show ip route 10.2.0.0","Add the appropriate static or dynamic route."
C018,Routing,"Traffic reaches the router but is sent toward the wrong network.","Router connects to multiple remote networks.","show ip route | S 192.168.30.0/24 [1/0] via 192.168.40.2","Incorrect static route next hop","Layer 3","Routing","High","show ip route","Correct the static route and next-hop address."
C019,Routing,"One direction of communication works but return traffic fails.","Two routers connect separate LANs and require bidirectional routing.","show ip route | Router A has route to 10.20.0.0/24 | Router B has no route to 10.10.0.0/24","Missing return route","Layer 3","Routing","High","show ip route","Add the missing route on Router B."
C020,ACL,"Guest users cannot access the internal web server.","Guest VLAN 100 should be denied access to internal resources except the public web service.","show access-lists | 110 deny ip 192.168.100.0 0.0.0.255 192.168.10.0 0.0.0.255 | matches 25","ACL blocking traffic","Layer 3/4","ACL","High","show access-lists","Review and correct the ACL rule order and permitted traffic."
